WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan\Ti6242\Ti6242-2-Old-FS\Day 5 - 7 [Fractured].W02 - 3]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 88113
Total number of data points: 7311
Test date: 27/11/2017
Test time: 11:25:22
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 
Load Current (kN)	 Stroke Current (mm)	 TIME (S)	 
17.73	 0.47	 96.2650	 
17.73	 0.47	 96.4220	 
17.73	 0.47	 96.5619	 
17.73	 0.47	 96.7179	 
17.73	 0.47	 96.8590	 
17.73	 0.47	 97.0150	 
17.73	 0.47	 97.1559	 
17.73	 0.48	 97.3280	 
17.73	 0.47	 97.4679	 
17.73	 0.47	 97.6400	 
17.73	 0.47	 97.7809	 
17.73	 0.47	 97.9530	 
17.73	 0.47	 98.0929	 
17.73	 0.48	 98.2499	 
17.73	 0.47	 98.3900	 
17.73	 0.47	 98.5470	 
17.73	 0.47	 98.6869	 
17.73	 0.47	 98.8590	 
17.73	 0.47	 98.9999	 
17.73	 0.47	 99.1559	 
17.73	 0.47	 99.2970	 
17.73	 0.47	 99.4530	 
17.73	 0.47	 99.5929	 
17.73	 0.47	 99.7650	 
17.73	 0.47	 99.9059	 
17.73	 0.47	 100.0619	 
17.73	 0.47	 100.2030	 
17.73	 0.47	 100.3590	 
17.73	 0.47	 100.4999	 
17.73	 0.47	 100.6559	 
17.73	 0.47	 100.7970	 
17.73	 0.47	 100.9679	 
17.73	 0.47	 101.1090	 
17.73	 0.47	 101.2650	 
17.73	 0.47	 101.4059	 
17.73	 0.47	 101.5619	 
17.73	 0.47	 101.7030	 
17.73	 0.47	 101.8590	 
17.73	 0.47	 101.9999	 
17.73	 0.48	 102.1720	 
17.73	 0.48	 102.3119	 
17.73	 0.47	 102.4679	 
