WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-3-Old-FS\Day 2 - 11351.W02 - 2]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1781181
Total number of data points: 148400
Test date: 08/12/2017
Test time: 17:04:18
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
18.02,  0.47,  91.6100,  
15.79,  0.42,  91.7500,  
12.70,  0.36,  91.9220,  
9.63,  0.29,  92.0630,  
6.52,  0.22,  92.2350,  
3.41,  0.16,  92.3750,  
0.36,  0.10,  92.5470,  
2.59,  0.14,  92.6880,  
5.68,  0.21,  92.8600,  
8.77,  0.27,  93.0000,  
11.04,  0.32,  93.1570,  
14.17,  0.39,  93.2970,  
17.24,  0.45,  93.4540,  
18.86,  0.49,  93.5940,  
15.78,  0.42,  93.7500,  
12.68,  0.36,  93.8910,  
9.61,  0.29,  94.0470,  
7.30,  0.24,  94.1880,  
4.20,  0.18,  94.3440,  
1.12,  0.12,  94.4850,  
1.89,  0.13,  94.6410,  
4.14,  0.17,  94.7820,  
7.19,  0.24,  94.9380,  
10.30,  0.30,  95.0790,  
12.62,  0.37,  95.2350,  
15.70,  0.42,  95.3750,  
18.76,  0.49,  95.5470,  
16.55,  0.44,  95.6880,  
13.48,  0.37,  95.8600,  
10.37,  0.31,  96.0000,  
7.29,  0.24,  96.1720,  
4.21,  0.18,  96.3130,  
1.12,  0.12,  96.4850,  
1.91,  0.13,  96.6250,  
4.91,  0.19,  96.7970,  
7.20,  0.24,  96.9380,  
10.31,  0.30,  97.0940,  
13.38,  0.37,  97.2350,  
16.44,  0.44,  97.3910,  
18.75,  0.49,  97.5320,  
16.55,  0.44,  97.7040,  
13.46,  0.37,  97.8440,  
10.39,  0.31,  98.0000,  
7.27,  0.24,  98.1410,  
4.92,  0.19,  98.2970,  
1.89,  0.13,  98.4380,  
1.14,  0.12,  98.5940,  
3.37,  0.16,  98.7350,  
7.20,  0.24,  98.9070,  
9.56,  0.29,  99.0470,  
12.57,  0.35,  99.2040,  
15.73,  0.42,  99.3440,  
18.74,  0.49,  99.5000,  
17.24,  0.45,  99.6410,  
14.25,  0.39,  99.7970,  
11.15,  0.32,  99.9380,  
8.07,  0.26,  100.1100,  
4.95,  0.19,  100.2500,  
1.88,  0.13,  100.4220,  
0.27,  0.10,  100.5630,  
4.15,  0.17,  100.7350,  
6.46,  0.22,  100.8750,  
9.52,  0.28,  101.0320,  
12.60,  0.35,  101.1720,  
14.92,  0.40,  101.3290,  
17.97,  0.47,  101.4690,  
17.27,  0.46,  101.6250,  
14.24,  0.39,  101.7660,  
11.92,  0.34,  101.9220,  
8.85,  0.28,  102.0630,  
5.74,  0.21,  102.2350,  
2.64,  0.15,  102.3750,  
0.26,  0.10,  102.5470,  
3.38,  0.16,  102.6880,  
5.67,  0.20,  102.8440,  
8.73,  0.27,  102.9850,  
11.84,  0.33,  103.1410,  
14.91,  0.40,  103.2820,  
17.22,  0.45,  103.4380,  
18.00,  0.47,  103.5790,  
14.98,  0.41,  103.7500,  
11.91,  0.34,  103.8910,  
8.82,  0.27,  104.0470,  
6.52,  0.23,  104.1880,  
3.41,  0.16,  104.3440,  
0.33,  0.10,  104.4850,  
2.64,  0.15,  104.6410,  
4.89,  0.19,  104.7820,  
7.97,  0.25,  104.9540,  
11.09,  0.32,  105.0940,  
14.14,  0.39,  105.2660,  
17.21,  0.45,  105.4070,  
18.03,  0.47,  105.5790,  
14.99,  0.41,  105.7190,  
11.95,  0.34,  105.8750,  
9.60,  0.29,  106.0160,  
6.49,  0.22,  106.1720,  
3.42,  0.16,  106.3130,  
0.37,  0.10,  106.4850,  
1.93,  0.14,  106.6250,  
5.69,  0.20,  106.7970,  
7.95,  0.25,  106.9380,  
11.12,  0.34,  107.1100,  
14.14,  0.38,  107.2500,  
17.22,  0.45,  107.4220,  
18.01,  0.47,  107.5630,  
14.99,  0.41,  107.7350,  
11.94,  0.34,  107.8750,  
8.82,  0.27,  108.0320,  
6.48,  0.22,  108.1720,  
3.42,  0.16,  108.3290,  
0.34,  0.10,  108.4690,  
2.62,  0.14,  108.6250,  
4.95,  0.19,  108.7660,  
7.96,  0.25,  108.9220,  
11.05,  0.32,  109.0630,  
14.13,  0.38,  109.2350,  
16.47,  0.45,  109.3750,  
18.01,  0.47,  109.5470,  
15.75,  0.42,  109.6880,  
12.67,  0.34,  109.8600,  
9.59,  0.29,  110.0000,  
6.53,  0.23,  110.1720,  
