No.	Pos. [°2Th.]	Iobs [cts]	Icalc [cts]	Iback [cts]	CT [s]	ESD	D spacings
404	43.3087	86.6678	 	 	224.7900	 	2.08749
405	43.3417	76.4021	 	 	224.7900	 	2.08598
406	43.3747	76.7556	 	 	224.7900	 	2.08447
407	43.4077	87.4118	 	 	224.7900	 	2.08296
408	43.4407	79.5948	 	 	224.7900	 	2.08146
409	43.4737	76.3206	 	 	224.7900	 	2.07995
410	43.5067	80.1423	 	 	224.7900	 	2.07845
411	43.5397	67.1208	 	 	224.7900	 	2.07695
412	43.5727	68.0165	 	 	224.7900	 	2.07546
413	43.6057	66.6298	 	 	224.7900	 	2.07396
414	43.6387	83.9071	 	 	224.7900	 	2.07247
415	43.6717	89.0053	 	 	224.7900	 	2.07098
416	43.7047	77.6934	 	 	224.7900	 	2.06949
417	43.7377	64.3731	 	 	224.7900	 	2.06801
418	43.7707	77.7445	 	 	224.7900	 	2.06653
419	43.8037	69.6860	 	 	224.7900	 	2.06505
420	43.8367	68.9240	 	 	224.7900	 	2.06357
421	43.8697	77.2078	 	 	224.7900	 	2.06209
422	43.9027	75.9391	 	 	224.7900	 	2.06062
423	43.9357	74.6608	 	 	224.7900	 	2.05915
424	43.9687	80.8754	 	 	224.7900	 	2.05768
425	44.0017	74.4009	 	 	224.7900	 	2.05621
426	44.0347	66.4959	 	 	224.7900	 	2.05475
427	44.0677	80.3551	 	 	224.7900	 	2.05329
428	44.1007	77.9700	 	 	224.7900	 	2.05183
429	44.1337	63.5164	 	 	224.7900	 	2.05037
430	44.1667	76.8745	 	 	224.7900	 	2.04891
431	44.1997	69.6987	 	 	224.7900	 	2.04746
432	44.2327	62.2712	 	 	224.7900	 	2.04601
433	44.2657	78.6893	 	 	224.7900	 	2.04456
434	44.2987	80.6941	 	 	224.7900	 	2.04311
435	44.3317	76.5355	 	 	224.7900	 	2.04167
436	44.3647	73.4988	 	 	224.7900	 	2.04023
437	44.3977	63.1409	 	 	224.7900	 	2.03879
438	44.4307	57.9541	 	 	224.7900	 	2.03735
439	44.4637	65.4741	 	 	224.7900	 	2.03591
440	44.4967	77.9552	 	 	224.7900	 	2.03448
